group,year,week,value
45to64,2023,3,2125
45to64,2023,4,2438
45to64,2023,5,2704
45to64,2023,6,3111
45to64,2023,7,3246
45to64,2023,8,3522
45to64,2023,9,3783
45to64,2023,10,4080
45to64,2023,11,4215
45to64,2023,12,4092
45to64,2023,13,4129
45to64,2023,14,4130
45to64,2023,15,4139
45to64,2023,16,4228
45to64,2023,17,4040
45to64,2023,18,3967
45to64,2023,19,3856
45to64,2023,20,3803
45to64,2023,21,3723
45to64,2023,22,3721
45to64,2023,23,3722
45to64,2023,24,3767
45to64,2023,25,3768
45to64,2023,26,3617
45to64,2023,27,3702
45to64,2023,28,3735
45to64,2023,29,3763
45to64,2023,30,3857
45to64,2023,31,3807
45to64,2023,32,3858
45to64,2023,33,3702
45to64,2023,34,3776
45to64,2023,35,3744
45to64,2023,36,3760
45to64,2023,37,3588
45to64,2023,38,3376
45to64,2023,39,3398
45to64,2023,40,3480
45to64,2023,41,3384
45to64,2023,42,3475
45to64,2023,43,3650
45to64,2023,44,3613
45to64,2023,45,3683
45to64,2023,46,3657
45to64,2023,47,3741
45to64,2023,48,3727
45to64,2023,49,3495
65to74,2021,0,0
65to74,2021,1,2391
65to74,2021,2,5353
65to74,2021,3,8462
65to74,2021,4,11213
65to74,2021,5,13480
65to74,2021,6,15196
65to74,2021,7,16844
65to74,2021,8,17816
65to74,2021,9,18832
65to74,2021,10,20080
65to74,2021,11,21318
65to74,2021,12,22618
65to74,2021,13,24067
65to74,2021,14,25535
65to74,2021,15,26757
65to74,2021,16,27993
65to74,2021,17,28961
65to74,2021,18,30196
65to74,2021,19,30811
65to74,2021,20,31360
65to74,2021,21,31560
65to74,2021,22,31838
65to74,2021,23,32270
65to74,2021,24,32590
65to74,2021,25,32831
65to74,2021,26,33232
65to74,2021,27,33496
65to74,2021,28,33924
65to74,2021,29,34578
65to74,2021,30,35117
65to74,2021,31,35759
65to74,2021,32,36578
65to74,2021,33,37278
65to74,2021,34,37903
65to74,2021,35,38755
65to74,2021,36,39696
65to74,2021,37,40237
65to74,2021,38,40630
65to74,2021,39,41215
65to74,2021,40,41871
65to74,2021,41,42829
65to74,2021,42,43478
65to74,2021,43,44512
65to74,2021,44,45532
65to74,2021,45,46870
65to74,2021,46,48170
65to74,2021,47,49965
65to74,2021,48,52155
65to74,2021,49,54129
65to74,2021,50,55957
65to74,2021,51,57837
65to74,2021,52,59660
65to74,2022,0,0
65to74,2022,1,1505
65to74,2022,2,3037
65to74,2022,3,4258
65to74,2022,4,5801
65to74,2022,5,7388
65to74,2022,6,8423
65to74,2022,7,9374
65to74,2022,8,9886
65to74,2022,9,10387
65to74,2022,10,10957
65to74,2022,11,11490
65to74,2022,12,12078
65to74,2022,13,12743
65to74,2022,14,13642
65to74,2022,15,14154
65to74,2022,16,14624
65to74,2022,17,15086
65to74,2022,18,15428
65to74,2022,19,15790
65to74,2022,20,16074
65to74,2022,21,15972
65to74,2022,22,16195
65to74,2022,23,16511
65to74,2022,24,17040
65to74,2022,25,17618
65to74,2022,26,18062
65to74,2022,27,18519
65to74,2022,28,19404
65to74,2022,29,20635
65to74,2022,30,21521
65to74,2022,31,22032
65to74,2022,32,22676
65to74,2022,33,23091
65to74,2022,34,23133
65to74,2022,35,23004
65to74,2022,36,23161
65to74,2022,37,23126
65to74,2022,38,23239
65to74,2022,39,23665
65to74,2022,40,24217
65to74,2022,41,24752
65to74,2022,42,25190
65to74,2022,43,25415
65to74,2022,44,25450
65to74,2022,45,25639
65to74,2022,46,25965
65to74,2022,47,26586
65to74,2022,48,27213
65to74,2022,49,28312
65to74,2022,50,30142
65to74,2022,51,32479
65to74,2022,52,34699
65to74,2023,0,0
65to74,2023,1,1695
65to74,2023,2,2679
